date,location,new_cases_smoothed
2020-02-25,Albania,23.698999999999998
2020-02-26,Albania,22.683999999999997
2020-02-27,Albania,21.668999999999997
2020-02-28,Albania,20.653999999999996
2020-02-29,Albania,19.639
2020-03-01,Albania,18.624
2020-03-02,Albania,17.609
2020-03-03,Albania,16.594
2020-03-04,Albania,15.578999999999999
2020-03-05,Albania,14.564
2020-03-06,Albania,13.549
2020-03-07,Albania,12.533999999999999
2020-03-08,Albania,11.519
2020-03-09,Albania,10.504
2020-03-10,Albania,9.489
2020-03-11,Albania,8.474
2020-03-12,Albania,7.459
2020-03-13,Albania,6.444
2020-03-14,Albania,5.429
2020-03-15,Albania,6.0
2020-03-16,Albania,7.0
2020-03-17,Albania,6.429
2020-03-18,Albania,6.714
2020-03-19,Albania,5.857
2020-03-20,Albania,5.286
2020-03-21,Albania,5.429
2020-03-22,Albania,6.714
2020-03-23,Albania,7.571
2020-03-24,Albania,9.714
2020-03-25,Albania,12.429
2020-03-26,Albania,15.714
2020-03-27,Albania,16.571
2020-03-28,Albania,17.286
2020-03-29,Albania,17.571
2020-03-30,Albania,17.0
2020-03-31,Albania,17.143
2020-04-01,Albania,16.143
2020-04-02,Albania,14.714
2020-04-03,Albania,16.857
2020-04-04,Albania,19.429
2020-04-05,Albania,21.286
2020-04-06,Albania,22.0
2020-04-07,Albania,20.0
2020-04-08,Albania,20.143
2020-04-09,Albania,18.857
2020-04-10,Albania,16.0
2020-04-11,Albania,14.286
2020-04-12,Albania,12.143
2020-04-13,Albania,12.857
2020-04-14,Albania,13.143
2020-04-15,Albania,13.429
2020-04-16,Albania,15.571
2020-04-17,Albania,17.571
2020-04-18,Albania,16.429
2020-04-19,Albania,16.571
2020-04-20,Albania,16.714
2020-04-21,Albania,19.143
2020-04-22,Albania,20.0
2020-04-23,Albania,20.714
2020-04-24,Albania,19.857
2020-04-25,Albania,23.429
2020-04-26,Albania,23.429
2020-04-27,Albania,21.714
2020-04-28,Albania,20.143
2020-04-29,Albania,18.857
2020-04-30,Albania,15.714
2020-05-01,Albania,14.857
2020-05-02,Albania,11.0
2020-05-03,Albania,9.857
2020-05-04,Albania,9.571
2020-05-05,Albania,10.0
2020-05-06,Albania,9.429
2020-05-07,Albania,9.857
2020-05-08,Albania,9.714
2020-05-09,Albania,9.571
2020-05-10,Albania,10.429
2020-05-11,Albania,9.857
2020-05-12,Albania,8.0
2020-05-13,Albania,6.857
2020-05-14,Albania,8.0
2020-05-15,Albania,9.429
2020-05-16,Albania,11.0
2020-05-17,Albania,11.143
2020-05-18,Albania,10.857
2020-05-19,Albania,10.429
2020-05-20,Albania,12.0
2020-05-21,Albania,10.143
2020-05-22,Albania,9.286
2020-05-23,Albania,8.0
2020-05-24,Albania,7.429
2020-05-25,Albania,8.0
2020-05-26,Albania,11.429
2020-05-27,Albania,12.286
2020-05-28,Albania,15.286
2020-05-29,Albania,16.857
2020-05-30,Albania,19.0
2020-05-31,Albania,19.857
2020-06-01,Albania,19.857
2020-06-02,Albania,19.286
2020-06-03,Albania,19.143
2020-06-04,Albania,17.286
2020-06-05,Albania,16.143
2020-06-06,Albania,15.714
2020-06-07,Albania,15.571
2020-06-08,Albania,17.143
2020-06-09,Albania,19.286
2020-06-10,Albania,22.429
2020-06-11,Albania,26.857
2020-06-12,Albania,29.143
2020-06-13,Albania,33.143
2020-06-14,Albania,39.286
2020-06-15,Albania,46.714
2020-06-16,Albania,53.286
2020-06-17,Albania,54.429
2020-06-18,Albania,57.571
2020-06-19,Albania,60.286
2020-06-20,Albania,61.0
2020-06-21,Albania,63.0
2020-06-22,Albania,57.857
2020-06-23,Albania,53.571
2020-06-24,Albania,56.0
2020-06-25,Albania,57.714
2020-06-26,Albania,61.571
2020-06-27,Albania,62.714
2020-06-28,Albania,62.857
2020-06-29,Albania,67.286
2020-06-30,Albania,69.714
2020-07-01,Albania,66.571
2020-07-02,Albania,67.143
2020-07-03,Albania,69.0
2020-07-04,Albania,69.857
2020-07-05,Albania,70.143
2020-07-06,Albania,71.143
2020-07-07,Albania,71.857
2020-07-08,Albania,75.143
2020-07-09,Albania,75.143
2020-07-10,Albania,75.143
2020-07-11,Albania,78.857
2020-07-12,Albania,80.143
2020-07-13,Albania,86.714
2020-07-14,Albania,89.857
2020-07-15,Albania,92.286
2020-07-16,Albania,94.714
2020-07-17,Albania,89.714
2020-07-18,Albania,91.0
2020-07-19,Albania,90.857
2020-07-20,Albania,85.714
2020-07-21,Albania,89.0
2020-07-22,Albania,86.571
2020-07-23,Albania,87.857
2020-07-24,Albania,94.857
2020-07-25,Albania,89.857
2020-07-26,Albania,96.143
2020-07-27,Albania,101.286
2020-07-28,Albania,101.0
2020-07-29,Albania,106.714
2020-07-30,Albania,104.429
2020-07-31,Albania,100.857
2020-08-01,Albania,108.429
2020-08-02,Albania,108.0
2020-08-03,Albania,105.714
2020-08-04,Albania,107.571
2020-08-05,Albania,112.0
2020-08-06,Albania,117.0
2020-08-07,Albania,125.0
2020-08-08,Albania,125.571
2020-08-09,Albania,127.429
2020-08-10,Albania,130.857
2020-08-11,Albania,132.286
2020-08-12,Albania,132.571
2020-08-13,Albania,136.429
2020-08-14,Albania,138.0
2020-08-15,Albania,140.714
2020-08-16,Albania,138.429
2020-08-17,Albania,137.571
2020-08-18,Albania,139.714
2020-08-19,Albania,142.143
2020-08-20,Albania,142.286
2020-08-21,Albania,143.143
2020-08-22,Albania,145.0
2020-08-23,Albania,149.571
2020-08-24,Albania,158.0
2020-08-25,Albania,157.857
2020-08-26,Albania,159.286
2020-08-27,Albania,159.429
2020-08-28,Albania,153.714
2020-08-29,Albania,143.429
2020-08-30,Albania,136.143
2020-08-31,Albania,129.714
2020-09-01,Albania,121.0
2020-09-02,Albania,114.429
2020-09-03,Albania,108.714
2020-09-04,Albania,110.286
2020-09-05,Albania,117.571
2020-09-06,Albania,125.0
2020-09-07,Albania,127.571
2020-09-08,Albania,135.286
2020-09-09,Albania,139.429
2020-09-10,Albania,145.143
2020-09-11,Albania,150.571
2020-09-12,Albania,154.714
2020-09-13,Albania,156.857
2020-09-14,Albania,159.143
2020-09-15,Albania,159.857
2020-09-16,Albania,158.857
2020-09-17,Albania,155.429
2020-09-18,Albania,150.286
2020-09-19,Albania,148.714
2020-09-20,Albania,147.429
2020-09-21,Albania,145.0
2020-09-22,Albania,142.0
2020-09-23,Albania,138.714
2020-09-24,Albania,139.0
2020-09-25,Albania,138.857
2020-09-26,Albania,132.429
2020-09-27,Albania,124.857
2020-09-28,Albania,122.286
2020-09-29,Albania,121.714
2020-09-30,Albania,123.143
2020-10-01,Albania,126.429
2020-10-02,Albania,131.429
2020-10-03,Albania,137.714
2020-10-04,Albania,143.857
2020-10-05,Albania,145.571
2020-10-06,Albania,150.0
2020-10-07,Albania,154.429
2020-10-08,Albania,156.143
2020-10-09,Albania,157.286
2020-10-10,Albania,159.143
2020-10-11,Albania,161.857
2020-10-12,Albania,165.714
2020-10-13,Albania,169.143
2020-10-14,Albania,175.0
2020-10-15,Albania,187.571
2020-10-16,Albania,205.0
2020-10-17,Albania,220.429
2020-10-18,Albania,236.571
2020-10-19,Albania,254.286
2020-10-20,Albania,271.286
2020-10-21,Albania,284.714
2020-10-22,Albania,291.143
2020-10-23,Albania,293.571
2020-10-24,Albania,297.714
2020-10-25,Albania,300.286
2020-10-26,Albania,299.286
2020-10-27,Albania,296.857
2020-10-28,Albania,298.857
2020-10-29,Albania,295.0
2020-10-30,Albania,296.857
2020-10-31,Albania,288.143
2020-11-01,Albania,292.143
2020-11-02,Albania,296.857
2020-11-03,Albania,310.714
2020-11-04,Albania,322.857
2020-11-05,Albania,343.714
2020-11-06,Albania,368.0
2020-11-07,Albania,404.286
2020-11-08,Albania,429.143
2020-11-09,Albania,458.286
2020-11-10,Albania,484.286
2020-11-11,Albania,500.143
2020-11-12,Albania,498.571
2020-11-13,Albania,498.714
2020-11-14,Albania,504.0
2020-11-15,Albania,517.714
2020-11-16,Albania,528.714
2020-11-17,Albania,547.429
2020-11-18,Albania,576.571
2020-11-19,Albania,630.286
2020-11-20,Albania,679.714
2020-11-21,Albania,709.0
2020-11-22,Albania,704.429
2020-11-23,Albania,732.0
2020-11-24,Albania,739.143
2020-11-25,Albania,729.571
2020-11-26,Albania,711.0
2020-11-27,Albania,683.714
2020-11-28,Albania,656.286
2020-11-29,Albania,694.857
2020-11-30,Albania,660.857
2020-12-01,Albania,673.429
2020-12-02,Albania,682.143
2020-12-03,Albania,700.143
2020-12-04,Albania,722.429
2020-12-05,Albania,765.429
2020-12-06,Albania,766.143
2020-12-07,Albania,785.857
2020-12-08,Albania,774.571
2020-12-09,Albania,781.286
2020-12-10,Albania,794.286
2020-12-11,Albania,794.429
2020-12-12,Albania,799.143
2020-12-13,Albania,791.714
2020-12-14,Albania,786.857
2020-12-15,Albania,794.857
